region_nom,code_circonscription,nom_circonscription,nb_bureaux_vote,inscrits,votants,taux_participation,bulletins_nuls,suffrages_exprimes,bulletins_blancs_nombre,bulletins_blancs_pourcentage,parti_politique,nom_liste_candidat,score_voix,pourcentage_voix,est_elu,region_nom_norm,nom_circonscription_norm,nom_liste_candidat_norm,parti_politique_norm
AGNEBY-TIASSA,,AGBOVILLE COMMUNE,133,48710,12821,0.2632,317,12504,81,0.006500000000000001,RHDP,DIMBA N'GOU PIERRE,10675,0.8537,True,agneby-tiassa,agboville commune,dimba n'gou pierre,rhdp
AGNEBY-TIASSA,,AGBOVILLE COMMUNE,133,48710,12821,0.2632,317,12504,81,0.006500000000000001,MGC,NANDO YAVO SERGE,453,0.0331,False,agneby-tiassa,agboville commune,nando yavo serge,mgc
AGNEBY-TIASSA,,AGBOVILLE COMMUNE,133,48710,12821,0.2632,317,12504,81,0.006500000000000001,ADCI,OCHOU WROHOUM MARIE-PASCALE,296,0.023700000000000002,False,agneby-tiassa,agboville commune,ochou wrohoum marie-pascale,adci
AGNEBY-TIASSA,,AGBOVILLE COMMUNE,133,48710,12821,0.2632,317,12504,81,0.006500000000000001,INDEPENDANT,OCHO KOKOU BERTRAND,20,0.0016,False,agneby-tiassa,agboville commune,ocho kokou bertrand,independant
AGNEBY-TIASSA,,AGBOVILLE COMMUNE,133,48710,12821,0.2632,317,12504,81,0.006500000000000001,INDEPENDANT,TETCHI EHOUE ANTOINE,75,0.006,False,agneby-tiassa,agboville commune,tetchi ehoue antoine,independant
AGNEBY-TIASSA,,AGBOVILLE COMMUNE,133,48710,12821,0.2632,317,12504,81,0.006500000000000001,INDEPENDANT,N'GOU KOKOLA GRACIASSE,30,0.0024,False,agneby-tiassa,agboville commune,n'gou kokola graciasse,independant
AGNEBY-TIASSA,,AGBOVILLE COMMUNE,133,48710,12821,0.2632,317,12504,81,0.006500000000000001,PDCI-RDA,OHOUNA N'TAKPE NICAISE,1327,0.1061,False,agneby-tiassa,agboville commune,ohouna n'takpe nicaise,pdci-rda
AGNEBY-TIASSA,,AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15515,5174,0.3335,73,5101,24,0.004699999999999999,INDEPENDANT,KOUAME YAO FREDERIC,439,0.0861,False,agneby-tiassa,azaguie commune et sous-prefecture,kouame yao frederic,independant
AGNEBY-TIASSA,,AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15515,5174,0.3335,73,5101,24,0.004699999999999999,INDEPENDANT,DOUMBIA HAMED CHEICK YVANN,1549,0.3037,False,agneby-tiassa,azaguie commune et sous-prefecture,doumbia hamed cheick yvann,independant
AGNEBY-TIASSA,,AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15515,5174,0.3335,73,5101,24,0.004699999999999999,INDEPENDANT,KPATA APPIA EDI JORES,863,0.16920000000000002,False,agneby-tiassa,azaguie commune et sous-prefecture,kpata appia edi jores,independant
AGNEBY-TIASSA,,AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15515,5174,0.3335,73,5101,24,0.004699999999999999,INDEPENDANT,KIPRE LIPIA MIREILLE,38,0.0074,False,agneby-tiassa,azaguie commune et sous-prefecture,kipre lipia mireille,independant
AGNEBY-TIASSA,,AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15515,5174,0.3335,73,5101,24,0.004699999999999999,INDEPENDANT,ADJA OWO GILLES ROGER,96,0.018799999999999997,False,agneby-tiassa,azaguie commune et sous-prefecture,adja owo gilles roger,independant
AGNEBY-TIASSA,,AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15515,5174,0.3335,73,5101,24,0.004699999999999999,RHDP,ALAIN EKISSI,1673,0.32799999999999996,True,agneby-tiassa,azaguie commune et sous-prefecture,alain ekissi,rhdp
AGNEBY-TIASSA,,AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15515,5174,0.3335,73,5101,24,0.004699999999999999,INDEPENDANT,BAMBA IDRISSA,256,0.050199999999999995,False,agneby-tiassa,azaguie commune et sous-prefecture,bamba idrissa,independant
AGNEBY-TIASSA,,AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15515,5174,0.3335,73,5101,24,0.004699999999999999,PDCI-RDA,EKISSI HUBERSON EVARISTHO ALVARIS,163,0.032,False,agneby-tiassa,azaguie commune et sous-prefecture,ekissi huberson evaristho alvaris,pdci-rda
AGNEBY-TIASSA,,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,0.326,241,7409,49,0.0066,INDEPENDANT,AKOUE BEDE ANSELME,203,0.0274,False,agneby-tiassa,"ananguie, cechi et rubino, communes et sous-prefectures",akoue bede anselme,independant
AGNEBY-TIASSA,,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,0.326,241,7409,49,0.0066,INDEPENDANT,TCHIMOU OKOMAN EMMANUEL,1668,0.22510000000000002,False,agneby-tiassa,"ananguie, cechi et rubino, communes et sous-prefectures",tchimou okoman emmanuel,independant
AGNEBY-TIASSA,,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,0.326,241,7409,49,0.0066,INDEPENDANT,OFFO ABOLE SYLVAIN,827,0.1116,False,agneby-tiassa,"ananguie, cechi et rubino, communes et sous-prefectures",offo abole sylvain,independant
AGNEBY-TIASSA,,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,0.326,241,7409,49,0.0066,INDEPENDANT,N'GOU OKAUGNY YANNICK ANICET,110,0.0148,False,agneby-tiassa,"ananguie, cechi et rubino, communes et sous-prefectures",n'gou okaugny yannick anicet,independant
AGNEBY-TIASSA,,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,0.326,241,7409,49,0.0066,RHDP,KOUASSI MARIE VIRGINIE,2607,0.3519,True,agneby-tiassa,"ananguie, cechi et rubino, communes et sous-prefectures",kouassi marie virginie,rhdp
AGNEBY-TIASSA,,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,0.326,241,7409,49,0.0066,INDEPENDANT,ATIN ERIC ALAIN,355,0.0479,False,agneby-tiassa,"ananguie, cechi et rubino, communes et sous-prefectures",atin eric alain,independant
AGNEBY-TIASSA,,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,0.326,241,7409,49,0.0066,INDEPENDANT,OFFO BEDIA AKE VINCENT,197,0.026600000000000002,False,agneby-tiassa,"ananguie, cechi et rubino, communes et sous-prefectures",offo bedia ake vincent,independant
AGNEBY-TIASSA,,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,0.326,241,7409,49,0.0066,INDEPENDANT,KOFFI ANGBA GUY RICHARD,65,0.0088,False,agneby-tiassa,"ananguie, cechi et rubino, communes et sous-prefectures",koffi angba guy richard,independant
AGNEBY-TIASSA,,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,0.326,241,7409,49,0.0066,FPI,ASSEKE BERNARD,117,0.0158,False,agneby-tiassa,"ananguie, cechi et rubino, communes et sous-prefectures",asseke bernard,fpi
AGNEBY-TIASSA,,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,0.326,241,7409,49,0.0066,PDCI-RDA,N'GUESSAN AKA ARNAUD,1211,0.1634,False,agneby-tiassa,"ananguie, cechi et rubino, communes et sous-prefectures",n'guessan aka arnaud,pdci-rda
AGNEBY-TIASSA,005,"GOMON ET SIKENSI, COMMUNES ET SOUS-PREFECTURES",102,37720,10768,0.28550000000000003,347,10421,134,0.0129,INDEPENDANT,BOTTI ADJIRI BERNARD,1127,0.1081,False,agneby-tiassa,"gomon et sikensi, communes et sous-prefectures",botti adjiri bernard,independant
AGNEBY-TIASSA,005,"GOMON ET SIKENSI, COMMUNES ET SOUS-PREFECTURES",102,37720,10768,0.28550000000000003,347,10421,134,0.0129,INDEPENDANT,YAO YAO ERIC ARMAND,1710,0.1641,False,agneby-tiassa,"gomon et sikensi, communes et sous-prefectures",yao yao eric armand,independant
AGNEBY-TIASSA,005,"GOMON ET SIKENSI, COMMUNES ET SOUS-PREFECTURES",102,37720,10768,0.28550000000000003,347,10421,134,0.0129,INDEPENDANT,BIPKO DANIELLE ADAHI,1417,0.136,False,agneby-tiassa,"gomon et sikensi, communes et sous-prefectures",bipko danielle adahi,independant
AGNEBY-TIASSA,005,"GOMON ET SIKENSI, COMMUNES ET SOUS-PREFECTURES",102,37720,10768,0.28550000000000003,347,10421,134,0.0129,INDEPENDANT,KOPRO AMANI PIERRE VENCESLAS VINCENT,580,0.0557,False,agneby-tiassa,"gomon et sikensi, communes et sous-prefectures",kopro amani pierre venceslas vincent,independant
AGNEBY-TIASSA,005,"GOMON ET SIKENSI, COMMUNES ET SOUS-PREFECTURES",102,37720,10768,0.28550000000000003,347,10421,134,0.0129,RHDP,N'GATA BRIE JOSEPH,3574,0.34299999999999997,True,agneby-tiassa,"gomon et sikensi, communes et sous-prefectures",n'gata brie joseph,rhdp
AGNEBY-TIASSA,005,"GOMON ET SIKENSI, COMMUNES ET SOUS-PREFECTURES",102,37720,10768,0.28550000000000003,347,10421,134,0.0129,INDEPENDANT,SAHORE N'GUESSAN PASCAL,157,0.0151,False,agneby-tiassa,"gomon et sikensi, communes et sous-prefectures",sahore n'guessan pascal,independant
AGNEBY-TIASSA,005,"GOMON ET SIKENSI, COMMUNES ET SOUS-PREFECTURES",102,37720,10768,0.28550000000000003,347,10421,134,0.0129,INDEPENDANT,ADOU JOSE ANTONIO,64,0.0060999999999999995,False,agneby-tiassa,"gomon et sikensi, communes et sous-prefectures",adou jose antonio,independant
AGNEBY-TIASSA,005,"GOMON ET SIKENSI, COMMUNES ET SOUS-PREFECTURES",102,37720,10768,0.28550000000000003,347,10421,134,0.0129,INDEPENDANT,ADANGBA KASSA-KASSA RAPHAEL,32,0.0031,False,agneby-tiassa,"gomon et sikensi, communes et sous-prefectures",adangba kassa-kassa raphael,independant
AGNEBY-TIASSA,006,"GBOLOUVILLE ET N'DOUCI, COMMUNES ET SOUS-PREFECTURES",94,31758,9221,0.2904,283,8938,72,0.008100000000000001,RHDP,KANGBE YAYORO CHARLES LOPEZ,3169,0.3546,True,agneby-tiassa,"gbolouville et n'douci, communes et sous-prefectures",kangbe yayoro charles lopez,rhdp
AGNEBY-TIASSA,006,"GBOLOUVILLE ET N'DOUCI, COMMUNES ET SOUS-PREFECTURES",94,31758,9221,0.2904,283,8938,72,0.008100000000000001,PDCI-RDA,ASSOUMOU BAKA CHARLES,1626,0.156,False,agneby-tiassa,"gbolouville et n'douci, communes et sous-prefectures",assoumou baka charles,pdci-rda
AGNEBY-TIASSA,006,"GBOLOUVILLE ET N'DOUCI, COMMUNES ET SOUS-PREFECTURES",94,31758,9221,0.2904,283,8938,72,0.008100000000000001,ADCI,CAMARA ISSOUF,1848,0.20679999999999998,False,agneby-tiassa,"gbolouville et n'douci, communes et sous-prefectures",camara issouf,adci
AGNEBY-TIASSA,006,"GBOLOUVILLE ET N'DOUCI, COMMUNES ET SOUS-PREFECTURES",94,31758,9221,0.2904,283,8938,72,0.008100000000000001,INDEPENDANT,TANOH AMOI CHRISTIAN,88,0.0098,False,agneby-tiassa,"gbolouville et n'douci, communes et sous-prefectures",tanoh amoi christian,independant
AGNEBY-TIASSA,006,"GBOLOUVILLE ET N'DOUCI, COMMUNES ET SOUS-PREFECTURES",94,31758,9221,0.2904,283,8938,72,0.008100000000000001,INDEPENDANT,GOUHAN EKANZA JULES ROLAND MONSIHO,282,0.0316,False,agneby-tiassa,"gbolouville et n'douci, communes et sous-prefectures",gouhan ekanza jules roland monsiho,independant
AGNEBY-TIASSA,007,"MOROKRO ET TIASSALE, COMMUNES ET SOUS-PREFECTURES",123,39362,16841,0.4278,518,16323,118,0.0072,ADCI - GP-PAIX - VALEUR,ASSALE TIEMOKO ANTOINE,7489,0.45880000000000004,False,agneby-tiassa,"morokro et tiassale, communes et sous-prefectures",assale tiemoko antoine,adci - gp-paix - valeur
AGNEBY-TIASSA,007,"MOROKRO ET TIASSALE, COMMUNES ET SOUS-PREFECTURES",123,39362,16841,0.4278,518,16323,118,0.0072,RHDP,SANOGO DRAMANE ALPHA,8557,0.5242,True,agneby-tiassa,"morokro et tiassale, communes et sous-prefectures",sanogo dramane alpha,rhdp
AGNEBY-TIASSA,007,"MOROKRO ET TIASSALE, COMMUNES ET SOUS-PREFECTURES",123,39362,16841,0.4278,518,16323,118,0.0072,PDCI-RDA,MIAN OCTAVI PEROU,159,0.0097,False,agneby-tiassa,"morokro et tiassale, communes et sous-prefectures",mian octavi perou,pdci-rda
AGNEBY-TIASSA,007,"MOROKRO ET TIASSALE, COMMUNES ET SOUS-PREFECTURES",123,39362,16841,0.4278,518,16323,118,0.0072,GJPA-CI,KOFFI NDRI FERDINAND,35,0.0049,False,agneby-tiassa,"morokro et tiassale, communes et sous-prefectures",koffi ndri ferdinand,gjpa-ci
AGNEBY-TIASSA,007,"MOROKRO ET TIASSALE, COMMUNES ET SOUS-PREFECTURES",123,39362,16841,0.4278,518,16323,118,0.0072,INDEPENDANT,KOUASSI KOFFI KAN ANICET DIDIER,881,0.12279999999999999,False,agneby-tiassa,"morokro et tiassale, communes et sous-prefectures",kouassi koffi kan anicet didier,independant
AGNEBY-TIASSA,008,"PACOBO ET TAABO, COMMUNES ET SOUS-PREFECTURES",68,23159,7576,0.3271,399,7177,64,0.0089,INDEPENDANT,BOKA YAO DANIEL,911,0.12689999999999999,False,agneby-tiassa,"pacobo et taabo, communes et sous-prefectures",boka yao daniel,independant
AGNEBY-TIASSA,008,"PACOBO ET TAABO, COMMUNES ET SOUS-PREFECTURES",68,23159,7576,0.3271,399,7177,64,0.0089,RHDP,KOUADIO BEUGRE BERNARD,3912,0.5451,True,agneby-tiassa,"pacobo et taabo, communes et sous-prefectures",kouadio beugre bernard,rhdp
